Sample_Index,NCC_Value
1262,-0.01192635
1263,-0.00772069
1264,0.00139266
1265,0.01469160
1266,0.02964807
1267,0.04414569
1268,0.05463451
1269,0.06214209
1270,0.06176789
1271,0.05753738
1272,0.04826917
1273,0.03466297
1274,0.02371868
1275,0.01414947
1276,0.00918985
1277,0.00963706
1278,0.01275039
1279,0.01912521
1280,0.02726507
1281,0.03295347
1282,0.03713423
1283,0.03999220
1284,0.03928711
1285,0.03888143
1286,0.03883892
1287,0.04167343
1288,0.04746378
1289,0.05559027
1290,0.06515815
1291,0.07378215
1292,0.08015830
1293,0.08238725
1294,0.08122214
1295,0.07794956
1296,0.07218203
1297,0.06564479
1298,0.06011789
1299,0.05836266
1300,0.06017728
1301,0.06652210
1302,0.07568244
1303,0.08538814
1304,0.09348970
1305,0.09852682
1306,0.10107538
1307,0.09780606
1308,0.09149719
1309,0.08199178
1310,0.07230802
1311,0.06407918
1312,0.05859324
1313,0.05583379
1314,0.05742778
1315,0.06088897
1316,0.06453916
1317,0.06496335
1318,0.06528898
1319,0.06146521
1320,0.05107863
1321,0.04047628
1322,0.02607003
1323,0.01120594
1324,-0.00067770
1325,-0.00818398
1326,-0.01200688
1327,-0.01049852
1328,-0.00436577
1329,0.00363430
1330,0.01261277
1331,0.01979028
1332,0.02721903
1333,0.03065790
1334,0.02996877
1335,0.02658217
1336,0.02120812
1337,0.01440432
1338,0.00839318
1339,0.00270565
1340,0.00000126
1341,-0.00165999
1342,-0.00092869
1343,0.00045984
1344,0.00227668
1345,0.00243148
1346,0.00086017
1347,-0.00224287
1348,-0.00691330
1349,-0.01279103
1350,-0.01828243
1351,-0.02284026
1352,-0.02626772
1353,-0.02669720
1354,-0.02457628
1355,-0.02065272
1356,-0.01504248
1357,-0.00790939
1358,-0.00154778
1359,0.00448537
1360,0.00850734
1361,0.01155513
1362,0.01282980
1363,0.01274187
1364,0.01232696
1365,0.01073117
1366,0.00875977
1367,0.00773426
1368,0.00628605
1369,0.00535640
1370,0.00324299
1371,-0.00005314
1372,-0.00447134
1373,-0.00998877
1374,-0.01617095
1375,-0.02177846
1376,-0.02529898
1377,-0.02574072
1378,-0.02307573
1379,-0.01663594
1380,-0.00785817
1381,0.00228274
1382,0.01324454
1383,0.02115164
1384,0.02582597
1385,0.02576225
1386,0.02057733
1387,0.01286975
1388,0.00237315
1389,-0.00732645
1390,-0.01686001
1391,-0.02299507
1392,-0.02677805
1393,-0.02773688
1394,-0.02542984
1395,-0.02342159
1396,-0.02056306
1397,-0.01895685
1398,-0.01851139
1399,-0.01837934
1400,-0.01772952
1401,-0.01561050
1402,-0.01082503
1403,-0.00249961
1404,0.00846679
