goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence
0.559666,0.676603,1.35489,0.507689,1.41635,0.815055,0,0.67
0.335468,0.797811,0.269522,0.626634,0.501774,0.926443,1,1
0.316671,0.560668,-0.0671581,0.384194,0.267575,0.675583,1,1
0.428857,0.722034,-1.10499,0.196625,1.13321,0.723203,1,0.67
1.01728,0.534511,-1.55686,0.174737,1.55694,0.432092,1,0.67
1.37575,0.594461,-2.695,-0.148317,2.80302,0.671537,1,0.67
0.86728,0.46828,-1.90498,-0.471103,2.17583,0.558226,1,0.67
0.965487,0.350648,-0.631655,-0.586138,1.70806,0.654521,1,0.67
0.814913,0.446958,-0.287624,-0.236343,1.38135,0.397022,1,0.67
0.510358,0.138355,0.499414,-0.0852618,0.803771,0.153401,0,1
0.564407,0.214906,1.07777,0.0699924,1.36756,0.370987,0,1
1.02233,0.243143,1.97287,0.268715,1.97478,0.272161,0,1
0.48248,0.516478,1.31988,0.709783,1.34732,0.778775,0,0.67
0.364041,0.680816,0.0527389,0.884603,0.509807,0.927806,1,1
0.262278,0.461085,-0.186156,0.588748,0.264507,0.65836,1,1
0.427925,0.720042,-0.775603,0.523873,1.05892,0.710791,1,0.67
1.2108,0.745862,-1.56124,0.228693,1.73557,0.324958,1,0.67
1.50295,0.919335,-1.8527,0.253661,2.70103,0.684809,1,0.67
1.10585,0.745689,-1.07032,-0.228144,2.12806,0.538404,1,0.67
1.13998,0.513165,0.300459,-0.323425,1.70011,0.642987,0,1
0.833123,0.550474,0.459249,-0.0275647,1.40169,0.409613,0,1
0.492045,0.171092,0.653358,-0.0559866,0.73153,0.186816,0,1
0.572683,0.157727,1.51876,0.318082,1.54009,0.455452,0,1
0.992643,0.307036,1.62281,0.225689,1.92814,0.244397,0,1
0.529608,0.399999,1.02218,0.76897,1.34649,0.771457,0,1
0.446266,0.471957,-0.225462,0.882255,0.489176,0.90247,1,1
0.214813,0.312116,-0.33318,0.60653,0.338548,0.608556,1,1
0.518304,0.582404,-0.281189,0.706761,1.01684,0.719673,1,0.67
1.51736,0.77308,-1.09777,0.255496,1.72986,0.256351,1,0.67
1.82881,0.990971,-0.499107,0.598352,2.7179,0.765969,1,0.67
1.23158,0.851288,-0.0120189,0.0472775,2.16639,0.557994,1,0.67
1.12829,0.635324,1.05546,-0.0289337,1.6934,0.664767,0,1
0.782487,0.601119,1.08111,0.195977,1.44166,0.444861,0,1
0.388465,0.176666,0.744194,0.0385322,0.744757,0.206917,0,1
0.832108,0.277408,1.59327,0.498659,1.63981,0.54476,0,1
1.31166,0.532341,0.793157,0.0940015,1.93116,0.24851,0,1
0.660925,0.546142,0.396807,0.605952,1.34874,0.753648,1,0.67
0.350802,0.473198,-0.418747,0.677358,0.516174,0.922661,1,1
0.212682,0.314741,-0.320425,0.515057,0.324283,0.636517,1,1
0.537965,0.364907,0.309249,0.727157,1.0288,0.766425,1,0.67
1.61824,0.611396,-0.422286,0.185834,1.5991,0.277984,1,0.67
2.11179,0.882564,0.888672,0.755836,2.80199,0.775489,0,1
1.32741,0.847313,1.08751,0.328851,2.2086,0.579803,0,1
0.917064,0.644922,1.63679,0.326849,1.75273,0.697747,0,1
0.592799,0.494549,1.41985,0.361271,1.45944,0.463584,0,1
0.317326,0.16439,0.536275,0.0794847,0.668917,0.18136,0,1
0.930095,0.347522,1.21265,0.530693,1.54409,0.532556,0,1
1.49834,0.610562,-0.214558,-0.0366004,2.03377,0.296185,1,0.67
0.75218,0.727825,-0.241642,0.322414,1.38618,0.770211,1,0.67
0.252107,0.686869,-0.50743,0.29343,0.511434,0.944036,1,1
0.205097,0.477283,-0.279795,0.25203,0.317485,0.663273,1,1
0.552822,0.356538,0.768644,0.5279,1.05263,0.770747,0,1
1.4971,0.357206,0.433558,0.10142,1.40233,0.378953,0,1
1.99004,0.55024,2.15427,0.775959,2.92724,0.790802,0,1
1.08052,0.606079,1.85025,0.516698,2.19421,0.588698,0,1
