Bit_Index,Corr_f0,Corr_f1,Decision
555,-0.26764,-0.10173,1
556,0.05346,0.02450,0
557,-0.13268,-0.03678,1
558,0.25609,0.11328,0
559,-0.14969,-0.04527,1
560,0.04868,0.01409,0
561,-0.24435,-0.12328,1
562,0.23889,0.09247,0
563,-0.05213,-0.01133,1
564,0.16252,0.04614,0
565,-0.25235,-0.14471,1
566,0.10762,0.02588,0
567,-0.05738,-0.02839,1
568,0.23688,0.08271,0
569,-0.11491,-0.05937,1
570,-0.02295,-0.02024,1
571,-0.08940,-0.01195,1
572,0.19772,0.09395,0
573,-0.01172,0.00888,1
574,-0.03241,-0.02292,1
575,-0.20911,-0.10463,1
576,0.00825,-0.02537,0
577,0.02747,0.01901,0
578,0.08294,0.04475,0
579,-0.14322,-0.07593,1
580,-0.07029,-0.03562,1
581,0.00504,-0.00305,0
582,0.22354,0.10049,0
583,-0.11350,-0.06702,1
584,0.03653,0.00176,0
585,-0.09498,-0.03502,1
586,0.31130,0.13077,0
587,-0.11623,-0.03211,1
588,0.07443,0.03788,0
589,-0.29215,-0.09769,1
590,0.12669,0.06777,0
591,-0.00545,0.02096,1
592,0.17691,0.10279,0
593,-0.24167,-0.08908,1
594,-0.01589,0.01214,1
595,-0.08735,-0.02839,1
596,0.17283,0.08448,0
597,-0.01615,-0.00824,1
598,-0.08034,-0.02530,1
599,-0.13874,-0.04207,1
600,0.16022,0.07764,0
601,0.16577,0.08236,0
602,-0.03277,0.00252,1
603,-0.08514,-0.00929,1
604,-0.06489,-0.01678,1
605,0.08456,0.04743,0
606,0.10028,0.04557,0
607,0.05178,0.02177,0
608,-0.26537,-0.10300,1
609,0.08835,0.03323,0
610,0.04435,0.04166,0
611,0.07633,0.02375,0
612,-0.07771,-0.02602,1
613,-0.06529,-0.02357,1
614,-0.02738,-0.00541,1
615,0.15416,0.09127,0
616,-0.06604,0.01633,1
617,-0.07974,-0.01319,1
618,-0.05802,-0.00073,1
619,0.04171,0.02982,0
620,0.10187,0.03493,0
621,0.03438,-0.01256,0
622,-0.06562,-0.03056,1
623,-0.04515,-0.01915,1
624,0.10160,0.06819,0
625,-0.01450,0.00310,1
626,-0.03408,-0.01610,1
627,-0.10535,-0.04484,1
628,0.03296,0.00847,0
629,0.11413,0.06287,0
630,0.05557,0.05830,1
631,-0.11375,-0.02500,1
632,-0.09212,-0.04291,1
633,0.07666,0.01668,0
634,0.05484,0.00113,0
635,0.03400,0.00801,0
636,-0.12236,-0.02753,1
637,-0.02217,0.00711,1
638,0.09361,0.06142,0
639,0.09256,0.06936,0
640,-0.06557,-0.02770,1
641,-0.06450,-0.04250,1
