correlation_f0,correlation_f1,confidence,bit
-0.788965,-0.825068,0.0223684,0
-0.394769,-0.643174,0.239325,0
0.295391,-0.594052,1,0
0.58642,0.137134,0.620943,0
-1.52677,-0.13949,0.832571,1
-1.20664,-0.280717,0.622528,1
-0.429751,0.0497206,1,1
-0.159591,0.285779,1,1
0.412047,0.35281,0.0774485,0
-0.054311,0.209628,1,1
-0.494956,0.15467,1,1
-0.277028,-0.434628,0.221454,0
1.4421,-0.021681,1,0
0.800386,0.327472,0.419302,0
-0.131738,0.0745094,1,1
-0.350009,-0.029774,0.843205,1
-0.770988,0.0310654,1,1
-0.367707,0.245376,1,1
-0.131724,0.35726,1,1
-0.956603,0.792519,1,1
-1.91465,0.377656,1,1
-0.783003,-0.0694081,0.837149,1
0.187266,0.128548,0.185926,0
0.294374,0.200051,0.190772,0
0.418509,0.0490571,0.79016,0
0.100411,-0.062606,1,0
0.128347,-0.178745,1,0
1.39895,-0.368664,1,0
1.70419,0.0941765,0.895265,0
0.517354,0.685037,0.139457,1
-0.415984,0.576988,1,1
-0.449907,0.641986,1,1
-0.435389,0.862125,1,1
-0.211954,1.00024,1,1
-0.467876,1.1744,1,1
-2.02162,1.11459,1,1
-1.41171,0.741681,1,1
-0.06119,0.151632,1,1
0.672675,0.145474,0.644382,0
0.605346,0.027508,0.913067,0
0.312356,-0.243617,1,0
0.204423,-0.3029,1,0
0.69843,-0.426157,1,0
2.40898,-0.14918,1,0
1.23652,0.182886,0.742306,0
0.0278382,0.749732,0.928397,1
-0.524516,0.810622,1,1
-0.404256,0.995696,1,1
0.0583596,1.2848,0.913101,1
0.0317017,1.31491,0.952916,1
-0.577481,1.46651,1,1
-2.20344,0.922333,1,1
-0.296733,0.758167,1,1
0.708649,0.307491,0.394785,0
0.880629,0.102057,0.79229,0
0.690478,-0.135314,1,0
0.00685879,-0.450032,1,0
0.180069,-0.418963,1,0
0.887595,-0.511318,1,0
2.36825,0.150564,0.880449,0
0.224844,0.195193,0.07059,0
-0.436378,0.492617,1,1
-0.436545,0.661559,1,1
-0.149786,0.914549,1,1
0.559674,1.15437,0.346955,1
0.326826,1.05944,0.52848,1
-0.452639,1.09279,1,1
-1.40291,0.313256,1,1
0.920121,0.424221,0.36888,0
1.18648,0.346203,0.548239,0
0.716909,0.0318965,0.914807,0
0.455451,-0.236162,1,0
-0.329812,-0.469082,0.174329,0
0.0766329,-0.346259,1,0
0.758449,-0.333546,1,0
1.29065,0.397363,0.529196,0
-0.938061,0.0989901,1,1
-0.801876,-0.0275067,0.933669,1
-0.140244,0.227861,1,1
0.1761,0.425199,0.414269,1
0.826125,0.509386,0.237167,0
0.413995,0.304642,0.152168,0
-0.161021,0.206201,1,1
0.0253042,-0.438354,1,0
1.77418,-0.0755156,1,0
1.14413,0.221724,0.675332,0
0.165284,-0.0913314,1,0
-0.0547799,-0.272821,0.66557,0
-0.48808,-0.256226,0.311503,1
-0.00913579,-0.0917845,0.81895,0
0.273307,-0.0089266,1,0
-0.429002,0.436613,1,1
-1.68756,-0.0501403,0.942291,1
-0.739098,-0.50192,0.191116,1
0.25953,-0.289463,1,0
0.440891,-0.240707,1,0
0.666871,-0.398477,1,0
0.316764,-0.593534,1,0
0.243438,-0.749221,1,0
1.4979,-0.963107,1,0
1.83015,-0.549561,1,0
0.56067,-0.00391371,1,0
-0.456884,-0.16972,0.458286,1
-0.440151,-0.136307,0.527087,1
-0.393255,0.0747912,1,1
-0.11723,0.188089,1,1
-0.407467,0.282751,1,1
-1.94363,0.283112,1,1
-1.6412,-0.15364,0.828797,1
-0.316633,-0.733209,0.396798,0
0.507999,-0.693941,1,0
0.44876,-0.830521,1,0
0.207627,-1.11326,1,0
0.111079,-1.19724,1,0
0.533939,-1.37377,1,0
2.21346,-1.08769,1,0
1.02333,-0.788077,1,0
-0.283228,-0.240871,0.080819,1
-0.82502,-0.1491,0.693878,1
-0.656073,0.056806,1,1
-0.175057,0.358874,1,1
-0.209151,0.362562,1,1
-0.842237,0.477575,1,1
-2.52672,0.0279644,1,1
-0.863709,-0.192517,0.635462,1
0.184397,-0.675178,1,0
0.497796,-0.799675,1,0
0.297887,-1.0256,1,0
-0.268079,-1.29983,0.658044,0
-0.131853,-1.26228,0.810846,0
0.548685,-1.38563,1,0
1.96557,-0.711241,1,0
-0.23383,-0.663113,0.478607,0
-0.907029,-0.321439,0.476683,1
-0.878008,-0.0802982,0.832416,1
-0.601821,0.207838,1,1
0.118385,0.470374,0.597848,1
-0.12679,0.414959,1,1
-0.85529,0.470205,1,1
-1.99033,-0.25389,0.773739,1
0.239343,-0.180143,1,0
